"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","deposit"
50,"management","divorced","tertiary","no",2564,"yes","no","cellular",21,"nov",124,4,113,8,"failure","no"
32,"student","single","unknown","no",4110,"no","no","cellular",6,"feb",119,8,-1,0,"unknown","no"
31,"technician","married","secondary","no",522,"yes","yes","cellular",27,"aug",308,4,-1,0,"unknown","no"
57,"retired","married","primary","no",1532,"no","no","telephone",6,"feb",286,3,-1,0,"unknown","no"
30,"technician","married","secondary","no",-306,"yes","yes","cellular",18,"nov",372,1,186,1,"failure","no"
41,"unemployed","married","tertiary","no",0,"no","no","cellular",29,"apr",882,1,181,3,"success","yes"
39,"management","married","tertiary","no",51,"no","no","cellular",20,"aug",140,2,-1,0,"unknown","no"
32,"services","married","secondary","no",1398,"yes","yes","cellular",15,"may",233,1,-1,0,"unknown","no"
49,"technician","single","unknown","no",443,"no","no","unknown",20,"jun",25,11,-1,0,"unknown","no"
34,"admin.","married","tertiary","no",69,"no","yes","cellular",4,"aug",120,3,1,6,"success","yes"
77,"retired","married","tertiary","no",699,"no","no","cellular",13,"aug",425,2,-1,0,"unknown","yes"
37,"unemployed","married","secondary","no",459,"no","no","cellular",20,"nov",109,4,-1,0,"unknown","no"
47,"admin.","married","unknown","no",989,"no","no","unknown",19,"jun",116,1,-1,0,"unknown","no"
40,"technician","single","secondary","no",277,"yes","no","unknown",14,"may",274,2,-1,0,"unknown","no"
88,"retired","married","primary","no",648,"no","no","telephone",3,"sep",318,1,-1,0,"unknown","no"
50,"management","married","tertiary","no",253,"no","no","cellular",28,"may",513,9,-1,0,"unknown","yes"
26,"admin.","single","secondary","no",96,"no","no","cellular",6,"may",606,1,345,1,"failure","no"
53,"retired","married","primary","no",0,"no","yes","unknown",27,"jun",747,1,-1,0,"unknown","no"
77,"retired","married","primary","no",2223,"no","no","telephone",10,"aug",365,2,187,1,"success","no"
57,"retired","divorced","tertiary","no",734,"no","no","cellular",6,"aug",1357,4,-1,0,"unknown","yes"
60,"technician","married","primary","no",4243,"yes","no","cellular",4,"feb",387,1,251,1,"failure","no"
40,"self-employed","married","tertiary","no",1498,"no","no","cellular",4,"feb",62,1,-1,0,"unknown","no"
73,"retired","divorced","tertiary","no",3203,"no","no","cellular",20,"apr",148,1,-1,0,"unknown","yes"
36,"management","married","tertiary","no",-547,"yes","no","cellular",30,"apr",267,1,259,2,"failure","no"
62,"retired","married","secondary","no",569,"no","no","cellular",4,"aug",288,1,1,8,"success","yes"
52,"retired","married","primary","no",6,"no","no","cellular",22,"aug",82,2,-1,0,"unknown","no"
43,"unemployed","married","tertiary","no",0,"no","no","cellular",18,"oct",464,1,94,2,"success","yes"
24,"student","single","secondary","no",423,"yes","no","unknown",5,"may",226,3,-1,0,"unknown","no"
41,"entrepreneur","married","secondary","no",187,"no","yes","cellular",21,"jul",354,1,-1,0,"unknown","no"
44,"blue-collar","married","secondary","no",294,"yes","no","unknown",19,"may",66,2,-1,0,"unknown","no"
33,"blue-collar","married","primary","no",331,"yes","no","unknown",30,"may",139,3,-1,0,"unknown","no"
32,"admin.","single","tertiary","no",8866,"no","no","cellular",18,"mar",278,2,-1,0,"unknown","yes"
28,"admin.","single","secondary","no",157,"no","no","cellular",27,"may",155,3,-1,0,"unknown","yes"
24,"admin.","single","secondary","no",166,"no","no","cellular",10,"sep",256,2,-1,0,"unknown","yes"
56,"technician","married","secondary","no",147,"no","no","cellular",12,"apr",203,1,-1,0,"unknown","no"
31,"management","single","tertiary","no",4718,"yes","no","cellular",21,"nov",536,1,-1,0,"unknown","yes"
33,"entrepreneur","married","secondary","no",-627,"yes","yes","cellular",8,"jul",740,1,-1,0,"unknown","yes"
52,"management","married","tertiary","no",-2712,"yes","yes","cellular",2,"apr",253,1,-1,0,"unknown","no"
40,"blue-collar","married","secondary","no",746,"yes","yes","cellular",2,"feb",241,1,262,3,"other","no"
32,"blue-collar","married","secondary","yes",-1,"yes","no","unknown",9,"may",653,1,-1,0,"unknown","yes"
36,"technician","single","secondary","no",27,"yes","no","cellular",9,"feb",631,1,260,2,"success","yes"
35,"unemployed","single","tertiary","no",154,"no","no","cellular",29,"jul",200,4,181,2,"failure","yes"
37,"management","married","tertiary","no",-57,"yes","no","cellular",31,"jul",37,20,-1,0,"unknown","no"
34,"technician","married","tertiary","no",2069,"no","no","cellular",20,"aug",328,2,-1,0,"unknown","no"
48,"management","single","secondary","no",1106,"no","yes","cellular",8,"jul",265,1,-1,0,"unknown","no"
53,"admin.","married","secondary","no",3765,"no","no","unknown",20,"jun",1094,3,-1,0,"unknown","yes"
57,"retired","married","secondary","no",3738,"yes","no","cellular",19,"apr",220,1,367,7,"success","no"
36,"services","married","primary","no",0,"yes","no","unknown",2,"jun",1036,1,-1,0,"unknown","yes"
59,"self-employed","married","tertiary","no",2013,"no","no","cellular",19,"feb",222,4,94,2,"success","yes"
47,"technician","married","secondary","no",1167,"yes","no","cellular",4,"aug",505,1,96,6,"success","yes"
58,"housemaid","married","primary","no",260,"yes","no","telephone",15,"may",71,5,364,3,"failure","no"
36,"blue-collar","single","secondary","no",111,"yes","no","cellular",6,"may",174,3,-1,0,"unknown","no"
43,"management","married","tertiary","no",1791,"no","no","cellular",5,"aug",254,1,-1,0,"unknown","yes"
35,"admin.","married","secondary","no",2374,"yes","no","cellular",11,"aug",765,2,183,5,"success","yes"
37,"management","married","tertiary","no",57,"no","no","cellular",30,"apr",96,2,84,1,"success","no"
28,"management","single","tertiary","no",12956,"yes","no","cellular",2,"jul",940,1,399,3,"success","yes"
38,"management","single","tertiary","no",619,"yes","no","unknown",6,"jun",460,4,-1,0,"unknown","yes"
46,"management","married","secondary","no",0,"no","no","cellular",27,"aug",38,6,-1,0,"unknown","no"
53,"retired","married","tertiary","no",7132,"no","no","cellular",13,"aug",88,2,-1,0,"unknown","no"
40,"blue-collar","married","primary","no",46,"yes","no","unknown",6,"may",119,1,-1,0,"unknown","no"
30,"blue-collar","married","secondary","no",282,"yes","yes","unknown",23,"may",148,2,-1,0,"unknown","no"
29,"technician","married","secondary","no",2326,"no","no","cellular",6,"mar",195,1,-1,0,"unknown","yes"
32,"blue-collar","married","secondary","no",136,"no","no","cellular",16,"nov",206,1,188,3,"success","yes"
35,"technician","single","tertiary","no",5301,"no","no","cellular",21,"nov",937,2,-1,0,"unknown","yes"
59,"management","married","tertiary","no",3342,"no","no","cellular",18,"mar",467,2,188,6,"other","yes"
38,"services","single","primary","no",3715,"yes","no","telephone",13,"may",41,2,327,17,"failure","no"
34,"technician","single","secondary","no",1279,"yes","no","cellular",21,"oct",339,3,91,10,"success","yes"
32,"services","single","secondary","no",6983,"no","no","cellular",7,"aug",255,1,-1,0,"unknown","yes"
31,"management","married","tertiary","no",2603,"yes","no","cellular",11,"feb",280,4,-1,0,"unknown","yes"
59,"retired","married","secondary","no",374,"no","no","cellular",29,"aug",272,2,-1,0,"unknown","no"
37,"blue-collar","married","secondary","no",1330,"no","no","cellular",30,"apr",390,1,-1,0,"unknown","yes"
29,"management","single","tertiary","no",2955,"no","no","cellular",29,"apr",226,2,-1,0,"unknown","yes"
40,"unemployed","married","secondary","no",1960,"yes","no","unknown",2,"jun",605,6,-1,0,"unknown","yes"
48,"housemaid","married","tertiary","no",5473,"no","no","cellular",24,"aug",232,2,-1,0,"unknown","yes"
35,"blue-collar","married","tertiary","no",5271,"yes","no","cellular",14,"apr",119,2,-1,0,"unknown","no"
46,"blue-collar","married","primary","no",369,"yes","no","unknown",13,"may",916,2,-1,0,"unknown","yes"
28,"management","single","tertiary","no",502,"no","no","cellular",16,"jun",136,2,-1,0,"unknown","yes"
25,"student","single","secondary","no",8,"no","no","cellular",22,"apr",107,2,-1,0,"unknown","yes"
35,"blue-collar","married","secondary","no",262,"no","no","cellular",15,"mar",427,1,181,3,"success","yes"
54,"admin.","married","primary","no",976,"yes","no","unknown",3,"jun",137,3,-1,0,"unknown","no"
49,"self-employed","married","tertiary","no",599,"no","no","cellular",12,"aug",174,1,-1,0,"unknown","no"
42,"admin.","single","secondary","no",1451,"yes","no","cellular",4,"may",251,4,-1,0,"unknown","yes"
60,"management","married","tertiary","yes",-311,"no","no","cellular",25,"aug",151,6,-1,0,"unknown","no"
36,"blue-collar","single","secondary","no",2596,"no","no","unknown",18,"jun",60,6,-1,0,"unknown","no"
22,"student","single","tertiary","no",1161,"no","yes","cellular",16,"jun",119,1,-1,0,"unknown","no"
36,"management","married","tertiary","no",-115,"yes","no","cellular",16,"apr",297,4,182,2,"other","yes"
24,"self-employed","single","tertiary","no",931,"yes","no","unknown",28,"may",200,4,-1,0,"unknown","no"
32,"technician","single","secondary","no",483,"no","no","cellular",8,"aug",580,3,-1,0,"unknown","yes"
36,"blue-collar","married","secondary","no",218,"yes","no","cellular",4,"may",619,6,-1,0,"unknown","yes"
30,"technician","married","secondary","no",-280,"yes","no","cellular",17,"apr",609,2,266,2,"failure","no"
50,"technician","divorced","secondary","no",-54,"yes","yes","cellular",13,"may",698,2,292,1,"failure","yes"
35,"unknown","married","primary","no",634,"no","no","cellular",7,"jul",185,2,-1,0,"unknown","no"
49,"management","married","tertiary","no",85,"yes","no","cellular",14,"may",590,5,359,1,"other","yes"
51,"unemployed","divorced","tertiary","no",0,"no","no","cellular",31,"jul",574,2,-1,0,"unknown","yes"
41,"services","single","secondary","no",92,"no","no","cellular",21,"nov",372,1,-1,0,"unknown","yes"
36,"technician","married","tertiary","no",202,"no","no","cellular",29,"jan",313,1,120,3,"failure","yes"
29,"services","married","secondary","no",1135,"yes","no","cellular",17,"feb",323,1,-1,0,"unknown","yes"
23,"student","single","tertiary","no",82,"no","no","cellular",4,"may",289,4,-1,0,"unknown","no"
43,"management","married","unknown","no",5172,"yes","no","unknown",29,"may",57,3,-1,0,"unknown","no"
56,"admin.","single","secondary","no",-273,"no","no","cellular",8,"jul",119,2,-1,0,"unknown","no"
56,"admin.","divorced","secondary","no",1693,"no","no","cellular",26,"oct",238,4,442,4,"failure","yes"
36,"admin.","married","unknown","no",991,"no","no","cellular",14,"jan",589,2,-1,0,"unknown","yes"
40,"blue-collar","divorced","primary","no",737,"yes","yes","unknown",12,"may",102,1,-1,0,"unknown","no"
72,"retired","married","primary","no",2304,"no","no","telephone",5,"may",510,4,-1,0,"unknown","yes"
40,"unemployed","single","secondary","no",1744,"yes","no","unknown",21,"may",465,11,-1,0,"unknown","no"
53,"admin.","married","primary","no",228,"yes","no","unknown",16,"may",97,1,-1,0,"unknown","no"
44,"management","single","tertiary","yes",12,"yes","no","cellular",19,"nov",126,2,-1,0,"unknown","no"
33,"blue-collar","single","secondary","no",697,"no","no","cellular",6,"feb",860,2,-1,0,"unknown","yes"
47,"management","single","tertiary","no",159,"no","no","telephone",29,"oct",220,3,155,3,"other","yes"
41,"management","divorced","tertiary","no",647,"yes","no","unknown",16,"may",270,1,-1,0,"unknown","no"
42,"technician","married","tertiary","no",-215,"no","no","unknown",20,"jun",1573,5,-1,0,"unknown","yes"
51,"retired","married","primary","no",610,"no","no","unknown",9,"jun",86,2,-1,0,"unknown","no"
45,"management","divorced","secondary","no",51,"yes","no","cellular",31,"jul",67,8,-1,0,"unknown","no"
34,"technician","married","secondary","no",260,"yes","no","cellular",17,"apr",20,2,238,2,"failure","no"
40,"admin.","single","secondary","no",664,"no","no","cellular",19,"nov",188,2,121,2,"success","no"
28,"self-employed","married","secondary","no",-522,"yes","yes","cellular",18,"may",638,2,-1,0,"unknown","yes"
57,"entrepreneur","divorced","tertiary","no",873,"no","no","unknown",17,"jun",441,3,-1,0,"unknown","no"
31,"management","single","tertiary","no",354,"no","no","cellular",30,"apr",502,1,9,2,"success","yes"
67,"retired","married","secondary","no",2048,"no","no","cellular",16,"sep",452,5,195,4,"other","yes"
35,"management","single","secondary","yes",-202,"yes","no","unknown",20,"may",268,3,-1,0,"unknown","no"
51,"housemaid","divorced","primary","no",127,"no","no","unknown",13,"sep",69,1,-1,0,"unknown","no"
53,"services","married","primary","no",8918,"yes","no","telephone",23,"jul",173,2,-1,0,"unknown","no"
32,"management","single","secondary","no",131,"yes","yes","cellular",23,"jul",1152,2,-1,0,"unknown","yes"
47,"management","married","tertiary","no",761,"yes","no","cellular",11,"jul",80,2,-1,0,"unknown","no"
29,"blue-collar","married","secondary","no",508,"yes","yes","unknown",19,"jun",262,5,-1,0,"unknown","no"
59,"management","married","tertiary","no",2239,"no","no","cellular",22,"may",431,1,-1,0,"unknown","yes"
30,"admin.","single","secondary","no",1309,"no","no","cellular",28,"jan",622,1,-1,0,"unknown","yes"
52,"technician","married","tertiary","no",523,"yes","yes","cellular",8,"jul",113,1,-1,0,"unknown","no"
26,"student","single","secondary","no",2572,"yes","no","cellular",5,"may",620,1,-1,0,"unknown","no"
37,"management","single","tertiary","no",8828,"no","no","unknown",12,"jun",1010,3,-1,0,"unknown","yes"
29,"services","married","secondary","no",363,"yes","no","cellular",15,"may",164,1,-1,0,"unknown","no"
34,"entrepreneur","married","secondary","no",456,"yes","yes","cellular",28,"aug",137,8,-1,0,"unknown","no"
29,"admin.","single","secondary","no",1992,"no","no","cellular",12,"apr",119,2,-1,0,"unknown","no"
45,"management","married","tertiary","no",10,"no","no","cellular",26,"aug",133,7,-1,0,"unknown","no"
41,"services","married","secondary","no",803,"yes","no","cellular",9,"apr",592,4,316,3,"failure","yes"
37,"self-employed","married","secondary","no",744,"yes","yes","cellular",21,"aug",161,3,-1,0,"unknown","no"
38,"technician","single","secondary","no",-242,"yes","no","cellular",18,"may",1173,3,278,6,"success","yes"
36,"services","married","secondary","no",472,"yes","no","unknown",19,"jun",1017,1,-1,0,"unknown","no"
41,"entrepreneur","married","secondary","no",707,"no","no","unknown",18,"jun",707,1,-1,0,"unknown","yes"
32,"management","single","tertiary","no",935,"no","no","cellular",9,"nov",165,1,91,7,"success","yes"
33,"services","single","secondary","no",187,"yes","no","cellular",20,"apr",168,3,326,1,"failure","no"
31,"services","single","secondary","no",-475,"yes","no","telephone",12,"may",232,3,-1,0,"unknown","no"
48,"blue-collar","married","secondary","no",292,"no","no","cellular",30,"apr",271,1,79,1,"success","yes"
41,"technician","married","secondary","no",-378,"yes","no","cellular",5,"feb",361,1,253,2,"failure","no"
54,"blue-collar","married","primary","no",1311,"no","no","telephone",15,"oct",485,3,184,3,"failure","yes"
44,"management","divorced","tertiary","no",2422,"yes","no","cellular",16,"apr",399,2,269,2,"failure","no"
39,"technician","married","tertiary","no",1524,"no","no","cellular",20,"apr",567,1,-1,0,"unknown","yes"
31,"technician","single","secondary","no",205,"yes","no","unknown",3,"jun",342,2,-1,0,"unknown","no"
44,"management","married","tertiary","no",445,"no","yes","telephone",6,"feb",135,2,9,7,"other","no"
54,"retired","married","secondary","no",3538,"no","no","cellular",27,"may",820,1,-1,0,"unknown","yes"
35,"self-employed","married","secondary","no",5613,"yes","no","cellular",28,"jul",699,3,-1,0,"unknown","yes"
39,"management","married","tertiary","no",-974,"no","yes","cellular",13,"aug",130,4,-1,0,"unknown","no"
29,"admin.","single","tertiary","no",261,"no","no","cellular",17,"mar",136,19,-1,0,"unknown","no"
31,"blue-collar","married","secondary","no",2910,"yes","no","unknown",23,"may",1392,2,-1,0,"unknown","yes"
24,"student","single","secondary","no",1234,"no","no","cellular",21,"jul",314,1,156,2,"success","yes"
29,"blue-collar","married","secondary","no",0,"no","no","cellular",10,"jul",45,1,-1,0,"unknown","no"
35,"management","married","tertiary","no",0,"yes","no","cellular",11,"feb",391,2,92,5,"success","yes"
34,"technician","married","secondary","no",883,"no","no","cellular",14,"aug",163,3,-1,0,"unknown","no"
31,"technician","married","tertiary","no",95,"no","no","cellular",21,"nov",48,6,-1,0,"unknown","no"
51,"housemaid","married","primary","no",289,"no","no","unknown",14,"may",97,5,-1,0,"unknown","no"
41,"technician","married","secondary","no",-274,"yes","no","unknown",27,"may",182,3,-1,0,"unknown","no"
29,"unemployed","single","tertiary","no",7,"no","no","cellular",6,"may",51,1,179,1,"failure","no"
33,"management","divorced","tertiary","no",2240,"no","no","cellular",8,"mar",264,2,278,1,"success","yes"
45,"blue-collar","married","primary","no",2433,"no","no","cellular",6,"aug",133,2,-1,0,"unknown","no"
53,"blue-collar","divorced","primary","no",2656,"yes","no","unknown",30,"may",1980,2,-1,0,"unknown","yes"
34,"technician","single","tertiary","no",992,"yes","no","cellular",5,"feb",71,2,-1,0,"unknown","yes"
33,"management","single","tertiary","no",5276,"no","no","cellular",4,"nov",572,1,-1,0,"unknown","no"
45,"unemployed","married","primary","no",0,"yes","no","cellular",2,"feb",570,2,-1,0,"unknown","no"
50,"unknown","married","unknown","no",558,"no","no","cellular",9,"jul",464,1,683,6,"failure","yes"
35,"blue-collar","married","secondary","no",698,"yes","yes","unknown",30,"may",1343,3,-1,0,"unknown","yes"
49,"blue-collar","married","primary","no",4830,"yes","no","unknown",6,"jun",350,1,-1,0,"unknown","no"
61,"blue-collar","divorced","primary","no",1428,"yes","no","unknown",5,"may",82,2,-1,0,"unknown","no"
35,"self-employed","married","tertiary","no",2427,"no","no","cellular",12,"jul",210,3,158,7,"other","yes"
41,"management","married","secondary","no",3096,"yes","no","cellular",24,"jul",273,6,-1,0,"unknown","no"
50,"entrepreneur","married","primary","no",461,"yes","no","unknown",15,"may",651,32,-1,0,"unknown","yes"
37,"management","single","secondary","no",655,"no","yes","cellular",4,"feb",258,6,-1,0,"unknown","no"
54,"retired","married","secondary","no",-152,"yes","yes","unknown",26,"may",14,11,-1,0,"unknown","no"
56,"retired","married","tertiary","no",281,"no","no","cellular",3,"mar",96,2,-1,0,"unknown","yes"
34,"admin.","married","secondary","no",1474,"no","no","cellular",2,"apr",739,2,-1,0,"unknown","yes"
49,"services","married","secondary","no",-301,"yes","no","cellular",12,"may",187,4,-1,0,"unknown","no"
50,"blue-collar","married","primary","no",2590,"yes","no","unknown",9,"may",257,6,-1,0,"unknown","no"
28,"blue-collar","married","primary","no",674,"yes","no","telephone",14,"may",921,4,-1,0,"unknown","no"
53,"technician","married","primary","no",6181,"no","no","cellular",14,"jul",817,2,209,3,"other","yes"
26,"blue-collar","single","secondary","no",592,"yes","yes","unknown",27,"may",174,1,-1,0,"unknown","no"
27,"housemaid","married","primary","no",275,"yes","no","cellular",14,"may",196,2,-1,0,"unknown","no"
69,"retired","married","unknown","no",426,"no","no","telephone",9,"mar",225,1,90,1,"success","yes"
33,"admin.","single","secondary","no",572,"yes","no","cellular",14,"apr",344,1,74,2,"failure","yes"
29,"self-employed","married","secondary","no",425,"yes","no","unknown",5,"jun",562,15,-1,0,"unknown","yes"
36,"technician","single","secondary","no",539,"yes","no","cellular",27,"aug",398,2,477,1,"failure","yes"
60,"entrepreneur","married","primary","no",83,"yes","no","cellular",17,"jul",302,2,-1,0,"unknown","no"
69,"retired","married","secondary","no",0,"no","no","cellular",25,"aug",412,2,-1,0,"unknown","yes"
33,"technician","divorced","secondary","no",370,"yes","no","cellular",11,"aug",145,4,-1,0,"unknown","no"
32,"admin.","married","tertiary","no",653,"no","no","cellular",2,"jun",84,1,-1,0,"unknown","yes"
60,"retired","married","tertiary","no",2194,"yes","no","telephone",20,"apr",31,3,263,9,"failure","no"
56,"retired","married","primary","no",152,"yes","yes","cellular",30,"jul",65,7,-1,0,"unknown","no"
30,"blue-collar","married","primary","no",2607,"yes","no","unknown",28,"may",158,10,-1,0,"unknown","no"
40,"blue-collar","married","primary","no",34,"yes","no","cellular",6,"may",350,2,344,1,"failure","no"
50,"technician","married","tertiary","no",2313,"no","no","cellular",5,"aug",553,1,-1,0,"unknown","yes"
28,"student","single","tertiary","no",844,"no","no","cellular",16,"apr",551,2,-1,0,"unknown","yes"
56,"management","married","tertiary","no",-6,"no","no","telephone",31,"jul",29,16,-1,0,"unknown","no"
36,"blue-collar","married","primary","no",223,"yes","no","unknown",14,"jul",12,3,-1,0,"unknown","no"
42,"technician","divorced","tertiary","no",802,"no","no","telephone",28,"jan",119,2,-1,0,"unknown","no"
33,"management","married","tertiary","no",1808,"no","no","cellular",28,"dec",250,3,-1,0,"unknown","yes"
63,"self-employed","married","tertiary","no",661,"no","no","cellular",2,"mar",56,2,-1,0,"unknown","no"
32,"management","single","tertiary","no",41,"yes","no","cellular",7,"may",449,1,338,1,"other","no"
37,"management","single","tertiary","no",1730,"no","no","cellular",19,"mar",167,1,-1,0,"unknown","yes"
57,"admin.","married","primary","no",1694,"yes","no","telephone",17,"nov",378,1,-1,0,"unknown","no"
62,"self-employed","married","tertiary","no",3685,"no","no","cellular",3,"feb",181,3,-1,0,"unknown","no"
51,"services","divorced","secondary","no",242,"no","yes","cellular",14,"jul",1336,4,-1,0,"unknown","yes"
37,"management","single","tertiary","no",240,"no","no","unknown",5,"jun",1123,1,-1,0,"unknown","yes"
59,"retired","married","secondary","no",5678,"yes","no","unknown",14,"may",238,2,-1,0,"unknown","no"
33,"self-employed","married","primary","no",1862,"yes","no","unknown",12,"may",65,1,-1,0,"unknown","no"
56,"services","married","secondary","no",9,"no","yes","cellular",20,"aug",285,2,-1,0,"unknown","no"
29,"admin.","divorced","tertiary","yes",0,"no","yes","cellular",9,"jul",426,3,-1,0,"unknown","yes"
54,"technician","married","secondary","no",0,"no","no","telephone",14,"aug",159,2,106,6,"success","no"
50,"services","married","secondary","no",1134,"no","no","unknown",18,"jun",53,2,-1,0,"unknown","no"
53,"unknown","married","primary","no",732,"no","no","cellular",27,"oct",759,2,-1,0,"unknown","yes"
37,"technician","married","secondary","no",1762,"no","no","cellular",16,"apr",334,2,-1,0,"unknown","yes"
31,"unemployed","married","secondary","no",-825,"yes","no","unknown",7,"may",179,2,-1,0,"unknown","no"
31,"management","single","tertiary","no",713,"no","no","cellular",28,"aug",162,1,-1,0,"unknown","no"
44,"services","single","secondary","no",618,"no","no","cellular",12,"may",193,1,-1,0,"unknown","yes"
60,"technician","married","secondary","no",0,"no","no","cellular",25,"may",641,4,-1,0,"unknown","yes"
52,"blue-collar","married","unknown","no",0,"yes","no","cellular",9,"jul",1486,1,-1,0,"unknown","yes"
26,"blue-collar","married","secondary","no",246,"yes","no","unknown",16,"may",1143,3,-1,0,"unknown","yes"
37,"blue-collar","married","secondary","yes",-399,"yes","yes","unknown",3,"jun",21,3,-1,0,"unknown","no"
28,"student","single","tertiary","no",1562,"no","no","cellular",15,"feb",659,4,-1,0,"unknown","yes"
60,"blue-collar","married","secondary","no",196,"no","no","unknown",20,"jun",583,3,-1,0,"unknown","no"
34,"admin.","married","tertiary","no",69,"no","yes","cellular",3,"aug",263,3,251,3,"success","yes"
36,"management","single","tertiary","no",4,"yes","no","cellular",7,"may",855,2,342,1,"failure","yes"
60,"retired","divorced","tertiary","no",4,"yes","no","cellular",2,"dec",415,1,190,5,"failure","yes"
38,"technician","married","secondary","no",1478,"no","no","cellular",12,"aug",926,4,-1,0,"unknown","yes"
60,"management","married","tertiary","no",5990,"yes","no","cellular",6,"may",396,3,-1,0,"unknown","yes"
34,"technician","single","secondary","no",179,"no","no","cellular",19,"aug",294,3,-1,0,"unknown","no"
52,"technician","single","secondary","no",436,"no","yes","unknown",22,"mar",95,1,-1,0,"unknown","yes"
29,"management","single","tertiary","no",985,"yes","no","cellular",23,"jul",396,2,-1,0,"unknown","yes"
47,"technician","married","secondary","no",2246,"yes","no","cellular",10,"jul",330,1,-1,0,"unknown","no"
20,"student","single","unknown","no",829,"no","no","cellular",9,"jul",253,2,-1,0,"unknown","yes"
58,"admin.","divorced","secondary","no",1947,"no","no","telephone",26,"oct",228,1,-1,0,"unknown","yes"
26,"services","single","secondary","no",1445,"no","no","telephone",23,"oct",171,1,-1,0,"unknown","yes"
22,"self-employed","single","tertiary","no",780,"no","no","cellular",17,"mar",272,3,-1,0,"unknown","yes"
42,"blue-collar","married","primary","no",260,"yes","no","telephone",31,"jul",175,2,-1,0,"unknown","no"
35,"blue-collar","married","secondary","no",975,"yes","no","cellular",16,"jul",102,1,-1,0,"unknown","no"
26,"student","single","unknown","no",2503,"no","no","cellular",30,"apr",121,1,63,2,"failure","no"
46,"technician","married","tertiary","no",841,"yes","no","unknown",6,"may",158,1,-1,0,"unknown","no"
25,"management","single","tertiary","no",2506,"no","no","cellular",17,"feb",485,1,-1,0,"unknown","yes"
44,"self-employed","divorced","secondary","no",8,"no","no","cellular",26,"jul",423,4,-1,0,"unknown","yes"
83,"retired","divorced","primary","no",4565,"no","no","cellular",13,"sep",175,2,-1,0,"unknown","no"
39,"management","divorced","tertiary","no",517,"yes","yes","unknown",14,"may",1328,1,-1,0,"unknown","yes"
31,"management","married","tertiary","no",2344,"yes","no","cellular",14,"aug",221,6,-1,0,"unknown","no"
56,"entrepreneur","divorced","secondary","no",179,"no","no","cellular",14,"aug",47,2,-1,0,"unknown","no"
31,"admin.","married","secondary","no",3540,"yes","no","cellular",21,"nov",441,1,-1,0,"unknown","no"
61,"blue-collar","married","primary","no",5,"no","no","cellular",6,"aug",562,2,94,3,"success","yes"
28,"technician","single","tertiary","no",1628,"yes","no","cellular",25,"jul",1422,2,-1,0,"unknown","yes"
20,"student","single","secondary","no",153,"no","no","unknown",21,"jun",100,1,-1,0,"unknown","yes"
30,"services","married","secondary","no",3929,"yes","no","cellular",20,"nov",593,1,-1,0,"unknown","yes"
31,"technician","single","tertiary","yes",24,"no","no","cellular",21,"aug",246,2,-1,0,"unknown","no"
26,"blue-collar","single","secondary","no",2007,"no","no","cellular",13,"oct",194,1,92,5,"success","yes"
69,"retired","married","primary","no",2346,"no","no","cellular",11,"feb",354,2,-1,0,"unknown","yes"
33,"management","married","tertiary","no",1323,"no","no","cellular",1,"jun",327,1,-1,0,"unknown","yes"
28,"management","single","tertiary","no",80,"no","no","cellular",20,"oct",676,2,146,2,"failure","yes"
35,"technician","single","secondary","no",1227,"no","no","cellular",18,"mar",593,4,90,6,"other","yes"
38,"management","single","tertiary","no",427,"yes","no","cellular",6,"may",17,3,169,2,"failure","no"
29,"blue-collar","single","secondary","no",244,"yes","no","cellular",15,"may",19,2,-1,0,"unknown","no"
26,"blue-collar","single","secondary","no",26,"yes","yes","cellular",15,"may",899,1,-1,0,"unknown","yes"
53,"management","married","tertiary","no",37,"no","no","cellular",28,"aug",51,9,-1,0,"unknown","no"
38,"blue-collar","divorced","secondary","no",1817,"yes","no","cellular",28,"jul",1096,4,-1,0,"unknown","yes"
31,"management","single","tertiary","no",41,"yes","no","cellular",18,"aug",392,2,-1,0,"unknown","no"
33,"management","married","tertiary","no",403,"yes","no","unknown",26,"may",114,2,-1,0,"unknown","no"
48,"unemployed","married","secondary","no",817,"no","no","cellular",14,"jan",517,1,282,4,"success","yes"
55,"blue-collar","married","secondary","no",196,"no","no","cellular",21,"aug",81,1,-1,0,"unknown","yes"
34,"management","single","tertiary","no",2159,"no","no","unknown",18,"feb",386,1,-1,0,"unknown","yes"
39,"admin.","divorced","secondary","no",765,"no","no","unknown",9,"jun",155,3,-1,0,"unknown","no"
35,"blue-collar","single","primary","no",2040,"no","no","cellular",21,"nov",258,1,157,4,"failure","no"
47,"blue-collar","married","secondary","no",1730,"yes","no","cellular",30,"apr",231,1,-1,0,"unknown","yes"
39,"management","single","tertiary","no",1234,"no","no","telephone",29,"jul",64,4,-1,0,"unknown","no"
63,"management","married","tertiary","no",3115,"no","no","cellular",16,"nov",432,5,-1,0,"unknown","yes"
42,"blue-collar","married","unknown","no",149,"yes","no","telephone",23,"jul",329,3,-1,0,"unknown","no"
31,"admin.","single","secondary","no",626,"yes","no","unknown",21,"may",211,1,-1,0,"unknown","no"
36,"management","single","tertiary","no",2646,"no","no","cellular",13,"oct",169,1,182,10,"success","yes"
38,"services","married","secondary","no",2678,"no","no","cellular",28,"sep",282,2,187,1,"success","yes"
